ID,EXPERIMENT,SENSOR,TIMESTAMP,X,Y,Z
2,1,android.sensor.accelerometer,01:19:06.613,0.691172659,0.661584973,9.732445717
3,1,android.sensor.accelerometer,01:19:06.613,0.669818342,0.670607924,9.741108894
6,1,android.sensor.accelerometer,01:19:06.692,0.692171216,0.675246656,9.74324894
10,1,android.sensor.accelerometer,01:19:06.773,0.689824462,0.673264265,9.739702225
12,1,android.sensor.accelerometer,01:19:06.853,0.676705539,0.673544168,9.734483719
15,1,android.sensor.accelerometer,01:19:06.934,0.68679744,0.670281887,9.730614662
19,1,android.sensor.accelerometer,01:19:07.014,0.689792931,0.680927694,9.733875275
22,1,android.sensor.accelerometer,01:19:07.016,0.687631547,0.672188401,9.726700783
23,1,android.sensor.accelerometer,01:19:07.095,0.684403479,0.678599477,9.739654541
27,1,android.sensor.accelerometer,01:19:07.173,0.689472795,0.673438907,9.757129669
30,1,android.sensor.accelerometer,01:19:07.255,0.688232303,0.67319119,9.741424561
33,1,android.sensor.accelerometer,01:19:07.334,0.684122264,0.672881842,9.737724304
37,1,android.sensor.accelerometer,01:19:07.414,0.689590573,0.668988824,9.755569458
40,1,android.sensor.accelerometer,01:19:07.415,0.68449986,0.669694185,9.728082657
41,1,android.sensor.accelerometer,01:19:07.495,0.679581821,0.703652322,9.760515213
46,1,android.sensor.accelerometer,01:19:07.575,0.690763414,0.655805528,9.741059303
49,1,android.sensor.accelerometer,01:19:07.654,0.685953557,0.661060929,9.744394302
51,1,android.sensor.accelerometer,01:19:07.733,0.669921041,0.666292429,9.74693203
54,1,android.sensor.accelerometer,01:19:07.813,0.691017807,0.675590038,9.737251282
57,1,android.sensor.accelerometer,01:19:07.815,0.682123005,0.675090671,9.744977951
60,1,android.sensor.accelerometer,01:19:07.893,0.678701341,0.67426002,9.741018295
63,1,android.sensor.accelerometer,01:19:07.973,0.682731271,0.675064325,9.757604599
67,1,android.sensor.accelerometer,01:19:08.052,0.675274551,0.682806015,9.759778023
69,1,android.sensor.accelerometer,01:19:08.133,0.683972657,0.675826311,9.750077248
72,1,android.sensor.accelerometer,01:19:08.217,0.680360436,0.675190568,9.738964081
74,1,android.sensor.accelerometer,01:19:08.218,0.681119144,0.681417882,9.751720428
79,1,android.sensor.accelerometer,01:19:08.290,0.690886199,0.672045112,9.754745483
82,1,android.sensor.accelerometer,01:19:08.372,0.674652874,0.663723409,9.747476578
84,1,android.sensor.accelerometer,01:19:08.455,0.679467559,0.680615067,9.74995327
87,1,android.sensor.accelerometer,01:19:08.531,0.673945248,0.680346608,9.754440308
91,1,android.sensor.accelerometer,01:19:08.612,0.679293454,0.673487127,9.759572983
93,1,android.sensor.accelerometer,01:19:08.613,0.677032053,0.684336662,9.738336563
95,1,android.sensor.accelerometer,01:19:08.690,0.678027749,0.679243565,9.75740242
100,1,android.sensor.accelerometer,01:19:08.771,0.686759651,0.676881313,9.741563797
102,1,android.sensor.accelerometer,01:19:08.853,0.679390788,0.679047704,9.752156258
106,1,android.sensor.accelerometer,01:19:08.931,0.679483712,0.672667384,9.751325607
110,1,android.sensor.accelerometer,01:19:09.011,0.687133253,0.677970767,9.745787621
111,1,android.sensor.accelerometer,01:19:09.011,0.677433133,0.67564553,9.739023209
113,1,android.sensor.accelerometer,01:19:09.091,0.679094434,0.677900076,9.746907234
118,1,android.sensor.accelerometer,01:19:09.171,0.677259028,0.676687181,9.758483887
120,1,android.sensor.accelerometer,01:19:09.247,0.673385084,0.673119485,9.75061512
123,1,android.sensor.accelerometer,01:19:09.330,0.687512577,0.681606889,9.748422623
126,1,android.sensor.accelerometer,01:19:09.408,0.681611598,0.674209535,9.755279541
129,1,android.sensor.accelerometer,01:19:09.410,0.683447957,0.674778223,9.758361816
132,1,android.sensor.accelerometer,01:19:09.487,0.682311356,0.681201875,9.751997948
136,1,android.sensor.accelerometer,01:19:09.569,0.678178906,0.668109536,9.747414589
138,1,android.sensor.accelerometer,01:19:09.648,0.683924317,0.675285757,9.756343842
141,1,android.sensor.accelerometer,01:19:09.732,0.676277101,0.691464067,9.755537033
144,1,android.sensor.accelerometer,01:19:09.803,0.692615628,0.674643755,9.762452126
147,1,android.sensor.accelerometer,01:19:09.805,0.681719959,0.678521574,9.759176254
150,1,android.sensor.accelerometer,01:19:09.883,0.688714147,0.678386688,9.749283791
153,1,android.sensor.accelerometer,01:19:09.965,0.679622591,0.680978417,9.763241768
157,1,android.sensor.accelerometer,01:19:10.045,0.688043475,0.667828023,9.754448891
160,1,android.sensor.accelerometer,01:19:10.128,0.684229672,0.682556391,9.751060486
162,1,android.sensor.accelerometer,01:19:10.208,0.675372303,0.67533201,9.768174171
165,1,android.sensor.accelerometer,01:19:10.209,0.680826783,0.673381925,9.754441261
168,1,android.sensor.accelerometer,01:19:10.288,0.667494237,0.676159859,9.762293816
172,1,android.sensor.accelerometer,01:19:10.365,0.681412041,0.679420114,9.755945206
175,1,android.sensor.accelerometer,01:19:10.447,0.667208314,0.665437102,9.768205643
178,1,android.sensor.accelerometer,01:19:10.525,0.67841047,0.67623657,9.759395599
181,1,android.sensor.accelerometer,01:19:10.604,0.685256541,0.67482084,9.759215355
184,1,android.sensor.accelerometer,01:19:10.605,0.673448861,0.679745138,9.76099968
186,1,android.sensor.accelerometer,01:19:10.688,0.686559558,0.674604774,9.764217377
190,1,android.sensor.accelerometer,01:19:10.763,0.678509831,0.676983058,9.772220612
192,1,android.sensor.accelerometer,01:19:10.843,0.675923645,0.672350526,9.757444382
195,1,android.sensor.accelerometer,01:19:10.922,0.681883276,0.671334684,9.765096664
198,1,android.sensor.accelerometer,01:19:11.000,0.672240376,0.676441073,9.76423645
201,1,android.sensor.accelerometer,01:19:11.001,0.672571003,0.676120698,9.758792877
205,1,android.sensor.accelerometer,01:19:11.082,0.687702537,0.680933416,9.759365082
208,1,android.sensor.accelerometer,01:19:11.161,0.682844698,0.678350151,9.76308918
210,1,android.sensor.accelerometer,01:19:11.241,0.687742651,0.670012355,9.765928268
213,1,android.sensor.accelerometer,01:19:11.321,0.681789577,0.664972723,9.757043839
216,1,android.sensor.accelerometer,01:19:11.403,0.689644456,0.67320627,9.762286186
221,1,android.sensor.accelerometer,01:19:11.483,0.675288856,0.673807323,9.751529694
222,1,android.sensor.accelerometer,01:19:11.483,0.684683502,0.672608256,9.75527668
224,1,android.sensor.accelerometer,01:19:11.565,0.676756799,0.6808061,9.765751839
229,1,android.sensor.accelerometer,01:19:11.642,0.67692554,0.675837934,9.760643005
231,1,android.sensor.accelerometer,01:19:11.727,0.673470795,0.680740535,9.77132225
