  ID,EXPERIMENT,SENSOR,TIMESTAMP,X,Y,Z
77,1,android.sensor.accelerometer,19:08.3,3.4009552,-20.06493378,-52.93119812
78,1,android.sensor.accelerometer,19:08.3,-0.000590394,-2.83E-05,0.000418314
79,1,android.sensor.accelerometer,19:08.3,0.690886199,0.672045112,9.754745483
80,1,android.sensor.accelerometer,19:08.4,4.431365967,-20.12816238,-53.58742905
81,1,android.sensor.accelerometer,19:08.4,0.000523151,-0.000115333,-0.00052816
82,1,android.sensor.accelerometer,19:08.4,0.674652874,0.663723409,9.747476578
83,1,android.sensor.accelerometer,19:08.4,2.059539795,-21.38773155,-52.13710022
84,1,android.sensor.accelerometer,19:08.5,0.679467559,0.680615067,9.74995327
85,1,android.sensor.accelerometer,19:08.5,-0.000108155,-0.000151452,0.000419389
86,1,android.sensor.accelerometer,19:08.5,2.654922485,-21.84007835,-51.59755707
87,1,android.sensor.accelerometer,19:08.5,0.673945248,0.680346608,9.754440308
88,1,android.sensor.accelerometer,19:08.5,5.47E-05,-0.00046496,0.000413185
89,1,android.sensor.accelerometer,19:08.6,2.085174561,-20.20668411,-52.54320526
90,1,android.sensor.accelerometer,19:08.6,1.850845337,-21.60864639,-52.48962784
91,1,android.sensor.accelerometer,19:08.6,0.679293454,0.673487127,9.759572983
92,1,android.sensor.accelerometer,19:08.6,-0.000144637,-0.000410815,0.000994901
93,1,android.sensor.accelerometer,19:08.6,0.677032053,0.684336662,9.738336563
94,1,android.sensor.accelerometer,19:08.6,0.000267035,-3.79E-05,-0.000860042
95,1,android.sensor.accelerometer,19:08.7,0.678027749,0.679243565,9.75740242
96,1,android.sensor.accelerometer,19:08.7,2.84E-05,-6.46E-05,-0.000104138
97,1,android.sensor.accelerometer,19:08.7,3.055831909,-21.07811165,-52.20724487
98,1,android.sensor.accelerometer,19:08.8,3.591873169,-21.02846146,-52.46426773
99,1,android.sensor.accelerometer,19:08.8,-0.00022831,-0.000500691,0.000105538
100,1,android.sensor.accelerometer,19:08.8,0.686759651,0.676881313,9.741563797
101,1,android.sensor.accelerometer,19:08.8,2.307739258,-21.39875793,-52.02375793
102,1,android.sensor.accelerometer,19:08.9,0.679390788,0.679047704,9.752156258
103,1,android.sensor.accelerometer,19:08.9,7.98E-06,-0.000185965,-0.000523312
104,1,android.sensor.accelerometer,19:08.9,3.454055786,-21.33558464,-52.1018219
105,1,android.sensor.accelerometer,19:08.9,-5.52E-05,0.000470576,-0.00023602
106,1,android.sensor.accelerometer,19:08.9,0.679483712,0.672667384,9.751325607
107,1,android.sensor.accelerometer,19:08.9,2.549667358,-20.70192146,-51.50814056
108,1,android.sensor.accelerometer,19:09.0,3.636352539,-20.97219086,-51.57543182
109,1,android.sensor.accelerometer,19:09.0,-0.000302378,0.000250844,0.000105921
110,1,android.sensor.accelerometer,19:09.0,0.687133253,0.677970767,9.745787621
111,1,android.sensor.accelerometer,19:09.0,0.677433133,0.67564553,9.739023209
112,1,android.sensor.accelerometer,19:09.0,-0.000302185,0.000565521,-0.000124541
113,1,android.sensor.accelerometer,19:09.1,0.679094434,0.677900076,9.746907234
114,1,android.sensor.accelerometer,19:09.1,-0.000301992,-0.000415655,-0.000292115
115,1,android.sensor.accelerometer,19:09.1,2.278274536,-21.77760506,-52.22190857
116,1,android.sensor.accelerometer,19:09.1,3.305786133,-20.56427383,-53.27064514
117,1,android.sensor.accelerometer,19:09.2,-0.000182411,-0.000184829,-0.000210692
118,1,android.sensor.accelerometer,19:09.2,0.677259028,0.676687181,9.758483887
119,1,android.sensor.accelerometer,19:09.2,3.050109863,-21.53468132,-52.67133331
120,1,android.sensor.accelerometer,19:09.2,0.673385084,0.673119485,9.75061512
121,1,android.sensor.accelerometer,19:09.2,0.000207885,0.000371179,-0.000522448
122,1,android.sensor.accelerometer,19:09.3,1.949264526,-20.52754593,-51.95922852
123,1,android.sensor.accelerometer,19:09.3,0.687512577,0.681606889,9.748422623
124,1,android.sensor.accelerometer,19:09.3,0.000335653,0.000227467,0.000106559
125,1,android.sensor.accelerometer,19:09.3,1.948532104,-21.20682144,-51.71208191
126,1,android.sensor.accelerometer,19:09.4,0.681611598,0.674209535,9.755279541
127,1,android.sensor.accelerometer,19:09.4,-0.000431351,-0.000804811,0.000551256
128,1,android.sensor.accelerometer,19:09.4,-0.000799775,-0.000498321,-2.33E-05
129,1,android.sensor.accelerometer,19:09.4,0.683447957,0.674778223,9.758361816
130,1,android.sensor.accelerometer,19:09.4,2.446075439,-20.92782593,-52.56734467
131,1,android.sensor.accelerometer,19:09.5,2.269515991,-21.00743294,-51.75710297
132,1,android.sensor.accelerometer,19:09.5,0.682311356,0.681201875,9.751997948
133,1,android.sensor.accelerometer,19:09.5,-0.000241176,0.000149758,0.001071882
134,1,android.sensor.accelerometer,19:09.5,1.839904785,-20.95182419,-51.72628021
135,1,android.sensor.accelerometer,19:09.6,0.000290214,-0.000183423,-0.000502783
136,1,android.sensor.accelerometer,19:09.6,0.678178906,0.668109536,9.747414589
137,1,android.sensor.accelerometer,19:09.6,3.112136841,-21.18099213,-51.4323349
138,1,android.sensor.accelerometer,19:09.6,0.683924317,0.675285757,9.756343842
139,1,android.sensor.accelerometer,19:09.6,-0.000302391,-0.000237015,-0.000522935
140,1,android.sensor.accelerometer,19:09.7,2.769332886,-20.95500946,-51.50444031
141,1,android.sensor.accelerometer,19:09.7,0.676277101,0.691464067,9.755537033
142,1,android.sensor.accelerometer,19:09.7,-0.000293241,0.000208177,-0.000239476
143,1,android.sensor.accelerometer,19:09.8,1.484069824,-19.55990219,-53.28787231
144,1,android.sensor.accelerometer,19:09.8,0.692615628,0.674643755,9.762452126
145,1,android.sensor.accelerometer,19:09.8,-1.95E-05,-0.000350179,-0.000524045
146,1,android.sensor.accelerometer,19:09.8,-0.000495085,0.000665371,0.000462589
147,1,android.sensor.accelerometer,19:09.8,0.681719959,0.678521574,9.759176254
148,1,android.sensor.accelerometer,19:09.8,3.313858032,-21.35455894,-53.47492599
149,1,android.sensor.accelerometer,19:09.9,3.323394775,-20.06835175,-54.75086212
150,1,android.sensor.accelerometer,19:09.9,0.688714147,0.678386688,9.749283791
151,1,android.sensor.accelerometer,19:09.9,0.000133714,-0.0003594,0.000148134
152,1,android.sensor.accelerometer,19:10.0,-0.000332346,-0.000400011,0.000148102
153,1,android.sensor.accelerometer,19:10.0,0.679622591,0.680978417,9.763241768
154,1,android.sensor.accelerometer,19:10.0,3.248977661,-21.53848839,-52.8962822
155,1,android.sensor.accelerometer,19:10.0,2.488464355,-21.3111248,-53.28722382
156,1,android.sensor.accelerometer,19:10.0,0.000285188,-0.00040007,-0.000166335
157,1,android.sensor.accelerometer,19:10.0,0.688043475,0.667828023,9.754448891
158,1,android.sensor.accelerometer,19:10.1,2.466033936,-21.35416222,-50.98432159
159,1,android.sensor.accelerometer,19:10.1,-0.000180854,2.91E-05,0.000148038
160,1,android.sensor.accelerometer,19:10.1,0.684229672,0.682556391,9.751060486
161,1,android.sensor.accelerometer,19:10.2,3.284439087,-20.15100098,-51.72101974
162,1,android.sensor.accelerometer,19:10.2,0.675372303,0.67533201,9.768174171
163,1,android.sensor.accelerometer,19:10.2,-0.000669182,0.000439373,0.000288536
164,1,android.sensor.accelerometer,19:10.2,0.00030733,-0.000400248,7.44E-06
165,1,android.sensor.accelerometer,19:10.2,0.680826783,0.673381925,9.754441261
166,1,android.sensor.accelerometer,19:10.2,2.827346802,-20.51765823,-52.15036774
167,1,android.sensor.accelerometer,19:10.3,-0.000180998,0.000309868,8.51E-05
168,1,android.sensor.accelerometer,19:10.3,0.667494237,0.676159859,9.762293816
169,1,android.sensor.accelerometer,19:10.3,2.757293701,-20.31798553,-51.581604
170,1,android.sensor.accelerometer,19:10.4,2.463668823,-21.69257736,-52.1595459
171,1,android.sensor.accelerometer,19:10.4,-0.000310518,0.000979302,-0.00010361
172,1,android.sensor.accelerometer,19:10.4,0.681412041,0.679420114,9.755945206
173,1,android.sensor.accelerometer,19:10.4,2.022506714,-20.6979599,-52.05661011
174,1,android.sensor.accelerometer,19:10.4,-5.16E-05,0.000357856,-0.000166526
175,1,android.sensor.accelerometer,19:10.4,0.667208314,0.665437102,9.768205643
176,1,android.sensor.accelerometer,19:10.5,2.030441284,-21.87913322,-52.03859711
177,1,android.sensor.accelerometer,19:10.5,0.000133263,-8.61E-05,-0.000414446
178,1,android.sensor.accelerometer,19:10.5,0.67841047,0.67623657,9.759395599
179,1,android.sensor.accelerometer,19:10.5,2.640884399,-21.30244064,-52.4391098
180,1,android.sensor.accelerometer,19:10.6,3.097290039,-21.43024254,-49.99952698
181,1,android.sensor.accelerometer,19:10.6,0.685256541,0.67482084,9.759215355
182,1,android.sensor.accelerometer,19:10.6,-0.000181191,-0.000282129,0.000388279
183,1,android.sensor.accelerometer,19:10.6,0.000136799,-0.000204614,0.000462188
184,1,android.sensor.accelerometer,19:10.6,0.673448861,0.679745138,9.76099968
185,1,android.sensor.accelerometer,19:10.7,-0.000810398,-1.63E-06,-0.000166853
186,1,android.sensor.accelerometer,19:10.7,0.686559558,0.674604774,9.764217377
187,1,android.sensor.accelerometer,19:10.7,2.439193726,-20.16438675,-53.15319443
188,1,android.sensor.accelerometer,19:10.7,2.152130127,-20.20556259,-52.21343231
189,1,android.sensor.accelerometer,19:10.8,0.000447156,0.000142699,-0.000373942
190,1,android.sensor.accelerometer,19:10.8,0.678509831,0.676983058,9.772220612
191,1,android.sensor.accelerometer,19:10.8,2.488525391,-21.38618279,-51.28133392
192,1,android.sensor.accelerometer,19:10.8,0.675923645,0.672350526,9.757444382
193,1,android.sensor.accelerometer,19:10.8,-0.000181722,-7.21E-05,-0.000274302
194,1,android.sensor.accelerometer,19:10.9,2.39364624,-20.6555748,-51.61766052
195,1,android.sensor.accelerometer,19:10.9,0.681883276,0.671334684,9.765096664
196,1,android.sensor.accelerometer,19:10.9,0.000787422,0.000253526,0.000147418
197,1,android.sensor.accelerometer,19:10.9,3.065307617,-20.6925869,-53.25235748
198,1,android.sensor.accelerometer,19:11.0,0.672240376,0.676441073,9.76423645
199,1,android.sensor.accelerometer,19:11.0,-0.000181856,-0.000183362,5.09E-05
200,1,android.sensor.accelerometer,19:11.0,-0.000181924,0.001292709,-7.07E-05
201,1,android.sensor.accelerometer,19:11.0,0.672571003,0.676120698,9.758792877
202,1,android.sensor.accelerometer,19:11.0,2.647964478,-21.12142372,-53.22265625
203,1,android.sensor.accelerometer,19:11.1,3.412384033,-20.52036285,-53.82365417
204,1,android.sensor.accelerometer,19:11.1,2.57E-05,0.000126449,-0.000167161
205,1,android.sensor.accelerometer,19:11.1,0.687702537,0.680933416,9.759365082
206,1,android.sensor.accelerometer,19:11.1,2.408355713,-19.82857895,-54.17733383
207,1,android.sensor.accelerometer,19:11.2,0.000382092,0.000871332,6.15E-05
